id,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,pos_chr
2543465,Teddy Bridgewater,QB,DEN,18.4,0.824,0.0718,17.6,19.5,-1.16,-0.042,-1.93,116,86,126,13,5,16.6,1.57,4.83,,QB
2555259,Carson Wentz,QB,IND,18.4,0.855,0.0591,17.4,19.2,-1.24,-0.161,-2.26,117,91,132,14,5,14.1,1.44,4.73,,QB
310,Matt Ryan,QB,ATL,18.3,0.971,1.26,17.3,19.8,-1.3,-0.283,-1.61,119,95,117,15,6,13.5,1.47,4.83,,QB
2558019,Alvin Kamara,RB,NO,17.8,1.39,0.000599,15.7,19.7,6.8,6.78,6.12,5,6,9,2,1,4.68,1.65,4.01,,RB
2557991,Dalvin Cook,RB,MIN,17.8,1.84,1.2,15.2,19.9,6.8,6.27,6.32,6,9,6,3,2,2.11,0.31,3.58,,RB
2556214,Tyreek Hill,WR,KC,17.2,1.17,0.644,15.8,18.6,5.88,7.13,4.02,7,3,27,2,1,1.96,0.19,3.22,,WR
2552033,Jameis Winston,QB,NO,17,2.48,0.0888,14.4,19.6,-2.56,-3.17,-1.77,143,159,121,16,6,17.2,1.05,5.34,,QB
2566163,Trevor Lawrence,QB,JAC,17,0.871,0.261,16.1,18.2,-2.65,-1.52,-3.19,145,128,148,17,6,16.8,1.36,4.67,,QB
2561036,Sam Darnold,QB,CAR,16.7,1.85,0.307,14.3,18.8,-2.91,-3.26,-2.59,151,162,139,18,7,19.1,1.47,5.35,,QB
2566448,Najee Harris,RB,PIT,16.6,1.42,0.16,15.2,18.9,5.6,6.27,5.32,8,10,12,4,2,10.6,1.26,3.67,,RB
2565941,Ja'Marr Chase,WR,CIN,16.5,1.58,0.162,14,18,5.24,5.38,3.36,12,14,37,3,1,3.57,0.78,4.28,,WR
2553656,Taylor Heinicke,QB,WAS,16.4,0.782,0.03,15.4,17.2,-3.22,-2.18,-4.17,160,144,167,19,7,19.2,1.16,4.43,,QB
2555334,Jared Goff,QB,DET,16.4,2.03,0.135,13,17.7,-3.25,-4.58,-3.68,161,202,159,20,7,23.9,1.55,5.53,,QB
2564148,Jonathan Taylor,RB,IND,16.4,1.1,0.00789,15,18.1,5.44,6.07,4.53,9,11,21,5,2,3.68,0.85,2.6,,RB
2563965,D'Andre Swift,RB,DET,16.4,0.919,0.129,15.3,17.7,5.44,6.32,4.1,10,8,26,6,2,7.61,1.4,2.79,Q,RB
2562721,Deebo Samuel,WR,SF,16.4,2.11,0.00748,14.5,19.1,5.08,5.82,4.42,14,12,23,4,1,6.43,1.02,5.16,,WR
2552608,Stefon Diggs,WR,BUF,16.4,1.15,0.349,15.3,18,5.07,6.59,3.39,15,7,36,5,1,3.93,0.59,3.57,,WR
2558116,Aaron Jones,RB,GB,16.3,1.47,0.225,14.4,18.5,5.31,5.45,4.93,11,13,16,7,2,6.46,1.38,3.9,,RB
2564499,Tua Tagovailoa,QB,MIA,16.2,2.66,0.349,13.7,20.2,-3.38,-3.91,-1.26,165,179,112,21,7,21.7,1.51,5.87,,QB
2562574,Darrell Henderson,RB,LAR,16.1,1.78,0.214,13.9,18.3,5.08,4.9,4.69,13,19,20,8,2,8.39,2.09,5.26,,RB
2564556,Justin Jefferson,WR,MIN,16,2.13,0.3,13.9,19.1,4.72,5.27,4.49,17,15,22,6,2,4.79,0.82,5.01,,WR
2506109,Ben Roethlisberger,QB,PIT,15.9,2.21,0.0862,12.9,18.4,-3.73,-4.72,-2.98,171,209,145,22,7,23.4,1.36,5.46,,QB
2555224,Ezekiel Elliott,RB,DAL,15.9,1.83,0.271,13.8,18.4,4.87,4.84,4.83,16,20,17,9,3,6.46,1.74,5.01,,RB
2539335,Geno Smith,QB,SEA,15.8,1.73,0.627,13.2,17.1,-3.82,-4.45,-4.32,173,197,172,23,8,23.2,1.52,5.32,,QB
2560813,D.J. Moore,WR,CAR,15.7,1.75,0.434,13.6,17.9,4.42,4.92,3.29,20,17,38,7,2,8.14,1.51,5.17,,WR
2559169,Austin Ekeler,RB,LAC,15.6,1.11,0.193,13.6,16.4,4.6,4.64,2.82,18,21,45,10,3,6.39,2.41,4.2,Q,RB
2564223,James Robinson,RB,JAC,15.4,1.5,0.00997,13.9,17.4,4.41,4.94,3.79,21,16,30,11,3,11.3,1.77,4.36,,RB
2557976,Joe Mixon,RB,CIN,15.4,1.92,0.135,13,18,4.4,4.02,4.4,22,26,24,12,3,10.7,1.31,4.76,,RB
2540258,Travis Kelce,TE,KC,15.4,1.57,4.02,13.6,17.6,8.35,7.43,9.29,1,2,1,1,1,1,0,3.5,,TE
2561021,Nick Chubb,RB,CLE,15.3,2.08,1.26,11.6,17,4.26,2.67,3.41,24,39,33,13,4,12.4,1.67,5.45,,RB
2562238,A.J. Brown,WR,TEN,15.3,1.63,0.435,13.6,17.6,3.99,4.92,2.93,25,18,42,8,2,7.82,1.47,5,,WR
2566334,Mac Jones,QB,NE,15.2,1.59,0.0489,13.7,17,-4.44,-3.93,-4.45,194,180,175,24,8,21.9,0.52,4.32,,QB
2555260,Dak Prescott,QB,DAL,15.1,8.18,0.447,2.5,24.5,-4.49,-15.1,3.06,196,375,39,25,8,12.2,7.56,14.7,Q,QB
2558105,Chris Godwin,WR,TB,14.8,2.37,0.0553,12.9,18,3.55,4.23,3.41,30,23,34,9,2,11.4,2.23,6.63,,WR
2562685,DK Metcalf,WR,SEA,14.8,1.55,0.0724,12.6,16.3,3.5,3.89,1.68,32,27,59,10,2,,,5.31,,WR
2560800,Baker Mayfield,QB,CLE,14.7,2.47,0.634,12.3,18,-4.94,-5.29,-3.41,208,233,151,26,9,28.2,1.79,6.02,,QB
2563848,CeeDee Lamb,WR,DAL,14.7,3.01,0.0268,12,18.4,3.42,3.35,3.77,33,35,31,11,2,13.9,4.2,9.26,,WR
2541785,Adam Thielen,WR,MIN,14.7,2.89,0.0746,11.4,18.4,3.4,2.76,3.8,34,38,29,12,2,,,8.64,,WR
2543468,Mike Evans,WR,TB,14.6,1.68,0.0912,12.8,16.6,3.32,4.17,1.94,35,24,56,13,2,14,2.51,6.02,,WR
2558846,Mike Williams,WR,LAC,14.5,1.99,0.272,12.7,17.5,3.23,4.05,2.84,36,25,43,14,3,12,2.23,6.15,,WR
2540165,DeAndre Hopkins,WR,ARI,14.2,1.4,0.358,12.1,15.9,2.96,3.38,1.28,40,34,60,15,3,9.75,2.2,5.39,,WR
2543801,Jimmy Garoppolo,QB,SF,14,1.2,1.14,12.8,15.7,-5.57,-4.82,-5.67,234,215,206,27,10,26.3,1.11,4.63,,QB
2565899,Chuba Hubbard,RB,CAR,14,1.65,0.226,12.5,16.3,3,3.48,2.73,39,32,46,14,4,18.1,0.96,3.85,,RB
2562674,Diontae Johnson,WR,PIT,13.9,2.76,0.217,11.1,17.6,2.6,2.46,2.99,43,41,40,16,3,12.8,1.48,6.41,,WR
2557973,Leonard Fournette,RB,TB,13.8,1.28,0.613,12.8,16,2.77,3.79,2.4,41,29,49,15,5,16,1.15,3.28,,RB
2540169,Robert Woods,WR,LAR,13.7,1.44,0.00521,12.1,15.5,2.39,3.41,0.881,46,33,67,17,3,,,5.05,,WR
2560888,Courtland Sutton,WR,DEN,13.7,2.78,0.0404,10.8,16.9,2.38,2.09,2.27,47,45,52,18,3,,,8.38,,WR
2560854,Calvin Ridley,WR,ATL,13.6,1.45,0.161,12.2,15.6,2.34,3.49,0.976,48,31,64,19,3,13.9,2.37,5.6,,WR
2562489,Terry McLaurin,WR,WAS,13.5,2.01,0.587,12,16.9,2.18,3.34,2.28,50,36,51,20,3,15,2.5,6.43,,WR
2565926,Khalil Herbert,RB,CHI,13.2,2.37,0.74,10.9,16.6,2.16,1.97,2.95,51,46,41,16,5,19.7,0.84,5.21,,RB
2565920,Justin Fields,QB,CHI,12.9,2.26,0.616,9.93,15.2,-6.71,-7.67,-6.25,272,321,223,28,10,26.7,0.83,5,,QB
2564136,Michael Pittman,WR,IND,12.9,2.52,0.549,10.8,16.6,1.59,2.14,1.93,54,43,57,21,4,,,7.74,,WR
2562281,Damien Harris,RB,NE,12.4,1.34,0.0926,10.4,14.2,1.42,1.44,0.587,55,58,72,17,5,14.3,1.47,3.71,,RB
2566136,Davis Mills,QB,HOU,12.3,1.26,1.01,10.8,13.4,-7.33,-6.77,-8.01,297,284,261,29,11,29.8,0.76,4.35,,QB
2555223,Devontae Booker,RB,NYG,12.3,2.64,0.43,10.7,16.4,1.33,1.72,2.83,57,52,44,18,6,23.2,1.96,6.9,,RB
497322,Emmanuel Sanders,WR,BUF,12.3,2.27,0.0256,9.65,15.3,1.04,0.973,0.692,60,69,70,22,4,,,7.12,,WR
2552487,Amari Cooper,WR,DAL,12.3,1.91,0.0483,10.8,15.2,1.02,2.15,0.585,61,42,73,23,4,,,6.21,,WR
2540145,Cordarrelle Patterson,WR,ATL,12.2,2.69,0.0722,9.99,15.8,0.969,1.32,1.12,62,60,61,24,4,15.8,2.94,7.69,,WR
2532884,Marvin Jones,WR,JAC,12.2,1.86,0.139,10.6,15,0.897,1.9,0.368,64,48,78,25,4,,,6.08,,WR
2555295,Sterling Shepard,WR,NYG,12,2.3,0.147,10.5,15.6,0.758,1.81,0.958,67,50,65,26,4,,,7.17,Q,WR
2540145,Cordarrelle Patterson,RB,ATL,11.9,1.98,0.00378,10,13.6,0.899,1.05,-0.0508,63,68,86,19,6,15.8,2.94,6.52,,RB
2560935,Darrel Williams,RB,KC,11.9,1.89,0.169,10.3,14.7,0.895,1.34,1.08,65,59,62,20,6,16.6,1.67,5.05,,RB
2563731,Tee Higgins,WR,CIN,11.9,1.91,0.0527,10.4,14.7,0.611,1.7,0.113,72,53,83,27,4,,,6.22,,WR
2543498,Brandin Cooks,WR,HOU,11.8,2.13,0.207,9.79,15,0.559,1.11,0.378,74,65,77,28,4,,,6.77,,WR
2566538,Elijah Mitchell,RB,SF,11.7,2.12,0.0624,9.7,14.4,0.726,0.735,0.743,68,70,69,21,6,18.8,1.15,5.01,,RB
2555430,Alex Collins,RB,SEA,11.7,2.62,0.663,8.97,15.5,0.663,0,1.88,69,85,58,22,7,24.1,2.29,7.19,Q,RB
2495448,Randall Cobb,WR,GB,11.6,3.44,0.15,9.01,16.9,0.352,0.34,2.27,75,80,53,29,4,,,10,,WR
2564970,Chase Claypool,WR,PIT,11.5,2.39,0.0818,9.06,14.8,0.202,0.387,0.165,76,78,81,30,5,,,7.41,,WR
2540154,Keenan Allen,WR,LAC,11.4,1.63,0.0967,9.01,12.9,0.12,0.334,-1.73,79,81,119,31,5,,,5.53,,WR
2565830,Kyle Pitts,TE,ATL,11.4,1.9,0.616,9.72,14.6,4.32,3.51,6.29,23,30,8,2,1,2,0,4.3,,TE
2560929,Mike White,QB,NYJ,11.3,1.24,2.01,10.6,13.1,-8.33,-7.01,-8.36,323,292,267,30,12,29.9,0.82,4.39,,QB
2566292,Jaylen Waddle,WR,MIA,11.3,3.45,0.0237,8.67,16.6,0.0237,0,1.95,84,85,55,32,5,,,10,,WR
2566409,DeVonta Smith,WR,PHI,11.3,1.03,0.000307,9.95,12.3,0,1.28,-2.34,85,61,134,33,5,,,4.02,,WR
2535698,Cole Beasley,WR,BUF,11.3,2.38,0.503,8.54,14.5,-0.000307,-0.13,-0.155,86,89,87,34,5,,,7.37,,WR
2566397,Kenneth Gainwell,RB,PHI,11,3.14,0.329,8.41,16,0,-0.553,2.35,85,102,50,23,7,24.9,3.04,8.99,,RB
2543488,Jarvis Landry,WR,CLE,10.8,3.14,0.775,8.57,15.6,-0.504,-0.107,0.938,100,88,66,35,5,,,9.28,,WR
2560995,Dallas Goedert,TE,PHI,10.8,2.63,0.0388,7.9,13.9,3.71,1.69,5.62,27,54,11,3,1,3.35,0.56,6.5,,TE
2562378,T.J. Hockenson,TE,DET,10.8,2.28,0.151,8.78,14.6,3.67,2.57,6.3,28,40,7,4,2,4,0.59,5.7,,TE
2565276,Antonio Gibson,RB,WAS,10.7,1.55,0.276,7.96,11.9,-0.329,-1.01,-1.71,95,116,118,24,7,21,1.63,4.31,,RB
2559270,Robert Tonyan,TE,GB,10.6,2.6,0.503,8.34,14,3.52,2.13,5.72,31,44,10,5,2,,,12.4,,TE
2562270,Myles Gaskin,RB,MIA,10.4,0.987,0.253,9.46,11.9,-0.605,0.493,-1.75,104,75,120,25,7,30.1,1.99,3.52,,RB
2560711,Chase Edmonds,RB,ARI,10.1,0.914,0.0279,8.73,11.3,-0.858,-0.241,-2.34,109,93,135,26,8,24,1.73,3.11,,RB
2566382,Michael Carter,RB,NYJ,10.1,1.61,0.0652,8.82,12.2,-0.886,-0.149,-1.39,111,90,116,27,8,28.6,2.68,5.49,,RB
2553435,David Johnson,RB,HOU,10.1,2.19,0.163,8.3,13.6,-0.951,-0.668,0,113,108,85,28,8,37.4,2.91,6.92,,RB
2560994,Mike Gesicki,TE,MIA,10.1,2.96,0.498,7.68,15.2,3.01,1.47,6.85,37,57,3,6,3,5.04,0.81,7.52,,TE
2552430,Tyler Lockett,WR,SEA,10,2,0.213,7.11,12.1,-1.28,-1.57,-2.55,118,130,136,36,6,,,6.44,,WR
2552469,Melvin Gordon,RB,DEN,9.89,1.05,0.438,8.45,11,-1.11,-0.515,-2.62,115,101,140,29,8,27.7,1.53,3.19,,RB
2563896,Jerry Jeudy,WR,DEN,9.79,2,0.264,7.57,12.4,-1.49,-1.1,-2.25,123,119,131,37,6,,,6.44,,WR
2560866,Dalton Schultz,TE,DAL,9.62,2.14,0.236,7.31,13.1,2.52,1.1,4.82,44,66,18,7,3,8.61,1.79,6.34,,TE
2495450,A.J. Green,WR,ARI,9.52,2.5,0.0421,7.22,13.3,-1.76,-1.45,-1.35,127,127,115,38,6,,,7.67,,WR
2552415,Jamison Crowder,WR,NYJ,9.48,1,0.0606,8.19,10.5,-1.8,-0.48,-4.16,128,100,166,39,6,,,3.96,,WR
2563617,Zack Moss,RB,BUF,9.45,0.825,0.254,8.32,10.2,-1.55,-0.65,-3.38,124,107,150,30,8,25.9,2.22,3.42,,RB
2562492,Jakobi Meyers,WR,NE,9.42,0.756,0.275,8.41,10.2,-1.86,-0.26,-4.38,131,94,173,40,6,,,3.35,,WR
2562383,Noah Fant,TE,DEN,9.38,2.53,0.926,6.78,13.6,2.28,0.569,5.28,49,73,13,8,4,6.48,0.71,6.4,,TE
100017,Rams,DST,LAR,9.32,1.07,0.532,8.33,10.7,3,3.06,3.4,38,37,35,1,1,1.81,0.64,3.07,,DST
2559242,Cooper Rush,QB,DAL,9.27,3.62,2.02,6.32,13.1,-10.3,-11.3,-8.29,404,373,265,31,13,30.8,2.46,7.31,,QB
2566049,Javonte Williams,RB,DEN,9.2,1.06,0.305,7.73,10.4,-1.81,-1.24,-3.18,130,121,147,31,9,26.6,1.32,3,,RB
2564232,Laviska Shenault,WR,JAC,9.15,0.638,0.052,8.33,9.8,-2.13,-0.342,-4.83,135,97,188,41,6,,,3.05,,WR
2566376,Kadarius Toney,WR,NYG,9.09,4.47,0.126,4.14,14.6,-2.19,-4.53,0,136,198,85,42,6,,,12.6,Q,WR
2560878,Tre'Quan Smith,WR,NO,8.97,4.05,0.132,4.83,14.3,-2.31,-3.85,-0.318,138,176,92,43,6,,,11.5,,WR
2557978,James Conner,RB,ARI,8.89,1.64,0.151,6.41,11,-2.11,-2.55,-2.56,134,150,137,32,9,29.3,1.69,4.57,,RB
2560781,Christian Kirk,WR,ARI,8.84,1.46,0.402,6.98,11,-2.44,-1.69,-3.62,142,134,155,44,7,,,5.1,,WR
100003,Bills,DST,BUF,8.78,1.18,0.433,7.2,10.1,2.47,1.93,2.73,45,47,47,2,2,1.9,0.86,3.65,,DST
2556440,J.D. McKissic,RB,WAS,8.74,0.717,0.692,7.71,9.55,-2.26,-1.25,-4.06,137,122,163,33,9,33.4,1.61,2.58,,RB
2555341,Hunter Henry,TE,NE,8.46,2.75,0.287,5.22,12.7,1.35,-0.988,4.4,56,115,25,9,5,8.48,1.77,7.79,,TE
2556661,Kalif Raymond,WR,DET,8.43,0.791,0.0623,7.1,8.92,-2.85,-1.57,-5.71,149,131,209,45,7,,,3.43,,WR
2556462,Robby Anderson,WR,CAR,8.37,1.37,0.00244,6.54,10,-2.91,-2.14,-4.62,150,142,182,46,7,,,4.87,,WR
2552409,DeVante Parker,WR,MIA,8.37,1.23,0.0117,6.51,9.42,-2.91,-2.16,-5.21,152,143,192,47,7,,,4.52,Q,WR
2563707,Darnell Mooney,WR,CHI,8.36,0.563,0.0358,7.54,8.98,-2.92,-1.13,-5.65,154,120,205,48,7,,,2.87,,WR
100029,49ers,DST,SF,8.35,1.28,0.327,7.14,10,2.04,1.88,2.68,52,49,48,3,3,5.71,1.63,4.81,,DST
2543509,Allen Robinson,WR,CHI,8.32,1.06,0.00599,7.23,9.81,-2.96,-1.44,-4.82,156,126,185,49,7,,,4.1,,WR
2565310,Marquez Callaway,WR,NO,8.32,1.68,0.00385,6.11,10.5,-2.96,-2.56,-4.15,157,151,165,50,7,,,5.65,,WR
2555466,Tyler Boyd,WR,CIN,8.31,1.32,0.399,7.04,9.8,-2.97,-1.64,-4.83,158,133,186,51,7,,,4.75,,WR
2559248,Ricky Seals-Jones,TE,WAS,8.17,3.05,0.423,6.32,13.6,1.07,0.113,5.27,59,84,14,10,5,11.9,1.36,8.18,,TE
2562699,Tony Pollard,RB,DAL,8.05,1.77,0.432,5.88,10.3,-2.95,-3.09,-3.26,155,158,149,34,10,33.3,1.58,4.71,,RB
100006,Bengals,DST,CIN,8.03,1.13,1.1,6.75,9.53,1.71,1.48,2.19,53,56,54,4,4,2.45,0.94,3.57,,DST
2543496,Odell Beckham,WR,CLE,7.91,0.691,0.0769,7.04,8.65,-3.37,-1.63,-5.98,163,132,216,52,7,,,3.18,Q,WR
2543496,Odell Beckham,WR,LAR,7.91,0.691,0.0769,7.04,8.65,-3.37,-1.63,-5.98,163,132,216,52,7,,,3.18,Q,WR
2562736,Darius Slayton,WR,NYG,7.84,1.74,0.344,5.15,8.93,-3.44,-3.53,-5.69,169,169,208,53,7,,,5.8,,WR
2555364,Tyler Higbee,TE,LAR,7.75,0.578,0.512,6.86,8.31,0.644,0.654,0,70,72,85,11,6,8.13,1.23,2.11,,TE
2558204,Jamaal Williams,RB,DET,7.62,1.53,0.0175,5.32,9.03,-3.39,-3.64,-4.58,167,173,180,35,10,35.9,1.48,4.12,Q,RB
2553439,Mike Davis,RB,ATL,7.6,1.15,0.617,6.26,8.83,-3.4,-2.71,-4.78,168,152,184,36,10,37.1,1.46,3.32,,RB
2561061,Russell Gage,WR,ATL,7.49,1.63,0.0631,5.37,9.21,-3.79,-3.31,-5.42,172,163,201,54,7,,,5.52,,WR
2558194,Josh Reynolds,WR,TEN,7.43,0.447,0.0493,7.13,7.92,-3.85,-1.55,-6.71,174,129,239,55,7,,,2.58,,WR
2558194,Josh Reynolds,WR,DET,7.43,0.447,0.0493,7.13,7.92,-3.85,-1.55,-6.71,174,129,239,55,7,,,2.58,,WR
2552600,Nelson Agholor,WR,NE,7.38,0.653,0.103,6.69,8.28,-3.9,-1.99,-6.35,177,138,224,56,7,,,3.09,,WR
2558877,Zach Pascal,WR,IND,7.28,1.27,0.0191,5.77,9.08,-4,-2.9,-5.55,180,154,204,57,7,,,4.63,,WR
2558985,Tim Patrick,WR,DEN,7.26,2.39,0.0708,4.67,10.1,-4.02,-4.01,-4.56,182,184,179,58,7,,,7.42,,WR
2532888,Case Keenum,QB,CLE,7.25,8.9,0.468,1.27,13.4,-12.4,-16.3,-7.97,428,376,260,32,14,30,2.03,10,,QB
2540158,Zach Ertz,TE,ARI,7.23,0.659,0.132,6.42,8.03,0.132,0.206,-0.286,78,83,91,12,6,10.7,1.43,2.47,,TE
2564358,Van Jefferson,WR,LAR,7.19,1.26,0.0252,5.47,8.48,-4.09,-3.21,-6.15,184,161,220,59,7,,,4.61,,WR
2565093,Brandon Aiyuk,WR,SF,7.16,0.914,0.176,6.23,8.2,-4.12,-2.44,-6.43,186,148,226,60,8,,,3.74,,WR
71265,Jared Cook,TE,LAC,7.1,1.32,0.0698,5.11,8.74,0,-1.1,0.424,85,118,75,13,6,14.2,1.25,3.91,,TE
497240,Rob Gronkowski,TE,TB,7.03,0.82,0.0246,6.21,8.13,-0.0698,0,-0.188,88,85,88,14,6,10,2.76,3.94,Q,TE
2557858,Evan Engram,TE,NYG,7.01,0.613,0.0179,6.6,7.98,-0.0944,0.386,-0.336,89,79,93,15,6,15.9,1.41,2.34,,TE
2562580,Mecole Hardman,WR,KC,6.99,1.49,0.0699,4.7,8.48,-4.29,-3.97,-6.15,190,182,221,61,8,,,5.16,,WR
2552559,C.J. Uzomah,TE,CIN,6.99,1.47,0.418,4.95,8.73,-0.112,-1.26,0.417,91,124,76,16,7,14.5,1.66,4.62,,TE
2562734,Devin Singletary,RB,BUF,6.98,1.4,0.75,5.15,8.33,-4.02,-3.82,-5.29,181,175,194,37,11,34.2,1.7,4.08,,RB
2532865,T.Y. Hilton,WR,IND,6.92,2.07,0.116,4.35,9.25,-4.36,-4.32,-5.37,193,195,198,62,8,,,6.61,Q,WR
100031,Buccaneers,DST,TB,6.92,0.408,0.433,6.51,7.47,0.608,1.24,0.132,73,63,82,5,5,4.9,1.65,1.86,,DST
2564574,K.J. Osborn,WR,MIN,6.8,1.42,0.12,5.22,8.78,-4.48,-3.45,-5.85,195,166,212,63,8,,,5,,WR
2566532,Trey Lance,QB,SF,6.78,4.9,0.989,3.23,13.6,-12.8,-14.4,-7.8,429,374,258,33,14,32.3,1.15,6.86,,QB
2566073,Amon-Ra St. Brown,WR,DET,6.68,1.21,0.312,4.67,7.51,-4.6,-4,-7.12,197,183,250,64,8,,,4.47,,WR
2561027,Tyler Conklin,TE,MIN,6.57,0.431,0.425,6.04,7.19,-0.53,-0.168,-1.12,102,92,107,17,7,17.3,1.43,1.91,,TE
100030,Seahawks,DST,SEA,6.49,1.59,0.0881,4.63,7.97,0.175,-0.642,0.633,77,106,71,6,6,15,5.47,9.89,,DST
100005,Bears,DST,CHI,6.4,1.08,0.029,5.69,8.16,0.0865,0.419,0.818,81,77,68,7,6,10.1,2.09,4.6,,DST
2564850,Jalen Reagor,WR,PHI,6.37,0.695,0.111,5.31,6.94,-4.91,-3.37,-7.69,207,165,255,65,8,,,3.2,,WR
100032,Redskins,DST,WAS,6.37,0.65,0.0174,5.75,7.34,0.0575,0.482,0,82,76,85,8,7,20.8,2.89,3.98,,DST
100027,Steelers,DST,PIT,6.35,0.419,0.0401,5.93,6.88,0.0401,0.656,-0.457,83,71,95,9,7,5.94,2.17,2.44,,DST
100026,Cardinals,DST,ARI,6.31,1.15,0.0226,4.94,7.66,0,-0.329,0.323,85,96,79,10,7,11.2,3.23,6.06,,DST
100014,Colts,DST,IND,6.29,0.565,0.0824,5.77,7.15,-0.0226,0.505,-0.191,87,74,89,11,8,16.6,2.15,2.92,,DST
2566433,Rondale Moore,WR,ARI,6.26,1.4,0.0425,4.73,8.17,-5.02,-3.94,-6.46,211,181,230,66,8,,,4.94,,WR
2563986,AJ Dillon,RB,GB,6.23,1.15,0.0466,4.96,7.82,-4.77,-4.01,-5.8,201,185,211,38,11,35.6,1.84,3.7,,RB
2558914,Kendrick Bourne,WR,NE,6.21,2.22,0.0182,4.12,8.88,-5.07,-4.55,-5.75,214,199,210,67,8,,,6.99,Q,WR
100009,Broncos,DST,DEN,6.21,1.78,0.165,4.32,8.4,-0.105,-0.953,1.06,90,114,63,12,9,11.6,2.38,7.29,,DST
2564880,Quez Watkins,WR,PHI,6.2,1.5,0.534,4.62,7.69,-5.08,-4.05,-6.94,215,186,244,68,8,,,5.19,,WR
2562682,Alexander Mattison,RB,MIN,6.19,3.63,0.0275,1.39,10.1,-4.82,-7.58,-3.49,204,313,154,39,11,49.6,2.36,9.32,,RB
2558138,Samaje Perine,RB,CIN,6.16,2.17,0.171,3.5,9.13,-4.85,-5.47,-4.49,205,243,176,40,11,42,1.71,5.68,,RB
2559385,Dan Arnold,TE,JAC,6.15,0.726,0.508,5.16,7.03,-0.955,-1.05,-1.28,114,117,113,18,8,18.1,1.45,2.64,,TE
100016,Chiefs,DST,KC,6.04,1.09,0.0174,4.51,6.79,-0.27,-0.758,-0.549,92,110,100,13,10,18.4,4.18,6.85,,DST
100025,Eagles,DST,PHI,6.03,0.661,0.0371,5.17,6.68,-0.287,-0.104,-0.661,93,87,102,14,10,13.1,4.87,6.1,,DST
2562293,Ty Johnson,RB,NYJ,5.99,1.06,0.0422,5.06,7.49,-5.02,-3.9,-6.12,210,178,219,41,11,44.6,1.29,2.97,,RB
100001,Falcons,DST,ATL,5.99,1.2,0.0648,4.32,6.88,-0.324,-0.948,-0.459,94,113,96,15,11,12.8,3.15,6.12,,DST
2563327,D'Ernest Johnson,RB,CLE,5.95,2.81,0.245,3.09,10.1,-5.06,-5.88,-3.48,213,259,153,42,12,39,1.38,6.66,,RB
100007,Browns,DST,CLE,5.92,1.03,0.0693,4.68,7.06,-0.389,-0.593,-0.275,97,104,90,16,11,11.6,2.83,5.21,,DST
100004,Panthers,DST,CAR,5.85,0.583,0.0375,5.27,6.58,-0.459,0,-0.762,98,85,103,17,12,12.4,4.37,5.31,,DST
